concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
2000000001	influenza virus vaccine, unspecified formulation	Drug	CVX	CVX	S	88	19700101	20991231
2000000002	pneumococcal polysaccharide vaccine, 23 valent	Drug	CVX	CVX	S	33	19700101	20991231
2000000003	tetanus and diphtheria toxoids, adsorbed, preservative free, for adult use (Td)	Drug	CVX	CVX	S	103	19700101	20991231
2000000004	Hepatitis B vaccine, adult dosage	Drug	CVX	CVX	S	45	19700101	20991231
2000000005	diphtheria, tetanus toxoids and acellular pertussis vaccine, 5 pertussis antigens	Drug	CVX	CVX	S	106	19700101	20991231
2000000006	influenza, intradermal, quadrivalent, preservative free, injectable	Drug	CVX	CVX	S	166	19700101	20991231
2000000007	Influenza, seasonal, injectable, preservative free	Drug	CVX	CVX	S	140	19700101	20991231
2000000008	Hepatitis A vaccine, adult dosage	Drug	CVX	CVX	S	83	19700101	20991231
2000000009	Hepatitis B vaccine, pediatric or pediatric/adolescent dosage	Drug	CVX	CVX	S	08	19700101	20991231
2000000010	zoster vaccine, live	Drug	CVX	CVX	S	121	19700101	20991231
2000000011	measles, mumps, rubella virus vaccine	Drug	CVX	CVX	S	03	19700101	20991231
2000000012	poliovirus vaccine, inactivated	Drug	CVX	CVX	S	10	19700101	20991231
2000000013	varicella virus vaccine	Drug	CVX	CVX	S	21	19700101	20991231
2000000014	meningococcal conjugate vaccine, serogroups A, C, W, Y, quadrivalent	Drug	CVX	CVX	S	136	19700101	20991231
2000000015	human papillomavirus 9-valent vaccine	Drug	CVX	CVX	S	165	19700101	20991231
2000000016	rotavirus, live, pentavalent vaccine	Drug	CVX	CVX	S	116	19700101	20991231
2000000017	COVID-19, mRNA, LNP-S, PF, 30 mcg/0.3 mL dose	Drug	CVX	CVX	S	208	19700101	20991231
2000000018	COVID-19, mRNA, LNP-S, PF, 100 mcg/0.5 mL dose	Drug	CVX	CVX	S	207	19700101	20991231
2000000019	Haemophilus influenzae type b vaccine, conjugate	Drug	CVX	CVX	S	17	19700101	20991231
2000000020	DTaP-Hepatitis B-IPV	Drug	CVX	CVX	S	110	19700101	20991231
